Country,Population,Population_Density,Urban_Population_%
Afghanistan,38928346,60,25
Albania,2877797,105,63
Algeria,43851044,18,73
Andorra,77265,164,88
Angola,32866272,26,67
Anguilla,15003,167,0
Antigua and Barbuda,97929,223,26
Argentina,45195774,17,93
Armenia,2963243,104,63
Aruba,106766,593,44
Australia,25499884,3,86
Austria,9006398,109,57
Azerbaijan,10139177,123,56
Bahamas,393244,39,86
Bahrain,1701575,2239,89
Bangladesh,164689383,1265,39
Barbados,287375,668,31
Belarus,9449323,47,79
Belgium,11589623,383,98
Belize,397628,17,46
Benin,12123200,108,48
Bermuda,62278,1246,97
Bhutan,771608,20,46
Bolivia,11673021,11,69
Bosnia and Herzegovina,3280819,64,52
Botswana,2351627,4,73
Brazil,212559417,25,88
British Virgin Islands,30231,202,52
Brunei,437479,83,80
Bulgaria,6948445,64,76
Burkina Faso,20903273,76,31
Burundi,11890784,463,14
CAR,4829767,8,43
Cabo Verde,555987,138,68
Cambodia,16718965,95,24
Cameroon,26545863,56,56
Canada,37742154,4,81
Caribbean Netherlands,26223,80,75
Cayman Islands,65722,274,97
Chad,16425864,13,23
Channel Islands,173863,915,30
Chile,19116201,26,85
China,1439323776,153,61
Colombia,50882891,46,80
Comoros,869601,467,29
Congo,5518087,16,75
Costa Rica,5094118,100,80
Croatia,4105267,73,58
Cuba,11326616,106,78
Curaçao,164093,370,89
Cyprus,1207359,131,67
Czechia,10708981,139,74
DRC,89561403,40,46
Denmark,5792202,137,88
Diamond Princess,0,0,0
Djibouti,988000,43,79
Dominica,71986,96,74
Dominican Republic,10847910,225,85
Ecuador,17643054,71,63
Egypt,102334404,103,43
El Salvador,6486205,313,73
Equatorial Guinea,1402985,50,73
Eritrea,3546421,35,63
Estonia,1326535,31,68
Eswatini,1160164,67,30
Ethiopia,114963588,115,21
Faeroe Islands,48863,35,43
Falkland Islands,3480,0,66
Fiji,896445,49,59
Finland,5540720,18,86
France,65273511,119,82
French Guiana,298682,4,87
French Polynesia,280908,77,64
Gabon,2225734,9,87
Gambia,2416668,239,59
Georgia,3989167,57,58
Germany,83783942,240,76
Ghana,31072940,137,57
Gibraltar,33691,3369,0
Greece,10423054,81,85
Greenland,56770,0,87
Grenada,112523,331,35
Guadeloupe,400124,237,95
Guatemala,17915568,167,52
Guinea,13132795,53,39
Guinea-Bissau,1968001,70,45
Guyana,786552,4,27
Haiti,11402528,414,57
Honduras,9904607,89,57
Hong Kong,7496981,7140,0
Hungary,9660351,107,72
Iceland,341243,3,94
India,1380004385,464,35
Indonesia,273523615,151,56
Iran,83992949,52,76
Iraq,40222493,93,73
Ireland,4937786,72,63
Isle of Man,85033,149,53
Israel,8655535,400,93
Italy,60461826,206,69
Ivory Coast,0,0,0
Jamaica,2961167,273,55
Japan,126476461,347,92
Jordan,10203134,115,91
Kazakhstan,18776707,7,58
Kenya,53771296,94,28
Kuwait,4270571,240,0
Kyrgyzstan,6524195,34,36
Laos,7275560,32,36
Latvia,1886198,30,69
Lebanon,6825445,667,31
Liberia,5057681,53,53
Libya,6871292,4,78
Liechtenstein,38128,238,15
Lithuania,2722289,43,71
Luxembourg,625978,242,88
MS Zaandam,0,0,0
Macao,649335,21645,0
Madagascar,27691018,48,39
Malawi,19129952,203,18
Malaysia,32365999,99,78
Maldives,540544,1802,35
Mali,20250833,17,44
Malta,441543,1380,93
Martinique,375265,354,92
Mauritania,4649658,5,57
Mauritius,1271768,626,41
Mayotte,272815,728,46
Mexico,128932753,66,84
Moldova,4033963,123,21
Monaco,39242,26337,90
Mongolia,3278290,2,67
Montenegro,628066,47,68
Montserrat,4992,50,10
Morocco,36910560,83,64
Mozambique,31255435,40,38
Myanmar,54409800,83,31
Namibia,2540905,3,55
Nepal,29136808,203,21
Netherlands,17134872,508,92
New Caledonia,285498,16,72
New Zealand,4822233,18,87
Nicaragua,6624554,55,57
Niger,24206644,19,17
Nigeria,206139589,226,63
North Macedonia,2083374,83,59
Norway,5421241,15,83
Oman,5106626,16,87
Pakistan,220892340,287,35
Palestine,18094,39,0
Panama,4314767,58,68
Papua New Guinea,8947024,20,13
Paraguay,7132538,18,62
Peru,32971854,26,79
Philippines,109581078,368,47
Poland,37846611,124,60
Portugal,10196709,111,66
Qatar,2881053,248,96
Romania,19237691,84,55
Russia,145934462,9,74
Rwanda,12952218,525,18
Réunion,895312,358,67
S. Korea,51269185,527,82
Saint Kitts and Nevis,53199,205,33
Saint Lucia,183627,301,19
Saint Martin,38666,730,0
Saint Pierre Miquelon,5794,25,100
San Marino,33931,566,97
Sao Tome and Principe,219159,228,74
Saudi Arabia,34813871,16,84
Senegal,16743927,87,49
Serbia,8737371,100,56
Seychelles,98347,214,56
Sierra Leone,7976983,111,43
Singapore,5850342,8358,0
Sint Maarten,42876,1261,96
Slovakia,5459642,114,54
Slovenia,2078938,103,55
Somalia,15893222,25,47
South Africa,59308690,49,67
South Sudan,11193725,18,25
Spain,46754778,94,80
Sri Lanka,21413249,341,18
St. Barth,10000,400,53
St. Vincent Grenadines,110940,284,80
Sudan,43849260,25,35
Suriname,586632,4,65
Sweden,10099265,25,88
Switzerland,8654622,219,74
Syria,17500658,95,60
Taiwan,23816775,673,79
Tajikistan,9537645,68,27
Tanzania,59734218,67,37
Thailand,69799978,137,51
Timor-Leste,1318445,89,33
Togo,8278724,152,24
Trinidad and Tobago,1399488,273,52
Tunisia,11818619,76,70
Turkey,84339067,110,53
Turks and Caicos,38717,41,69
UAE,9890402,118,86
UK,67886011,281,83
USA,331002651,36,83
Uganda,45741007,229,26
Ukraine,43733762,75,69
Uruguay,3473730,20,96
Uzbekistan,33469203,79,50
Vatican City,307145,25,24
Venezuela,28435940,32,0
Vietnam,97338579,314,0
Western Sahara,597339,2,87
Yemen,29825964,56,38
Zambia,18383955,25,45
Zimbabwe,14862924,38,38
